gbifID	institutionCode	collectionCode	basisOfRecord	recordNumber	recordedBy	individualCount	preparations	associatedTaxa	fieldNumber	eventDate	year	month	day	verbatimEventDate	habitat	fieldNotes	eventRemarks	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	scientificName
918816577	University of British Columbia	UBC	PRESERVED_SPECIMEN	4419	Vladimir J. Krajina; R.H. Spilsbury; Adam F. Szczawinski	NA	mounted	NA	NA	1950-06-14T00:00Z	1950	6	14	1950 Jun 14	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Vancouver Island, Nanaimo River Valley, near 1st Nanaimo Lake"	NA	220 m	NA	NA	NA	NA	NA	49.1	-124.11667	NA	NA	NA	NA	unknown	Amelanchier alnifolia (Nutt.) Nutt.
918816883	University of British Columbia	UBC	PRESERVED_SPECIMEN	24464	W.J. Cody	NA	mounted	NA	NA	1979-07-11T00:00Z	1979	7	11	1979 Jul 11	NA	NA	NA	NA	NA	CA	Manitoba	NA	NA	"planted by northern lookout, Highway 10, riding Mountain National Park"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	Amelanchier alnifolia (Nutt.) Nutt.
918829660	University of British Columbia	UBC	PRESERVED_SPECIMEN	145	John F. Hyne	NA	mounted	NA	NA	1972-06-19T00:00Z	1972	6	19	1972 Jun 19	right humus-gully side of creek light moisture.	NA	NA	NA	NA	CA	British Columbia	NA	NA	on hillside about the Chilcotin and Fraser confluence.	NA	1219 m	NA	NA	NA	NA	NA	51.71667	-122.45	NA	NA	NA	NA	unknown	Amelanchier alnifolia (Nutt.) Nutt.
918831490	University of British Columbia	UBC	PRESERVED_SPECIMEN	541	Timothy Johns	NA	mounted	NA	NA	1978-07-09T00:00Z	1978	7	9	1978 Jul 09	flat bush in subalpine meadow	NA	NA	NA	NA	CA	British Columbia	NA	NA	Moore Peak	NA	2103 m	NA	NA	NA	NA	NA	50.7	-121.73333	NA	NA	NA	NA	unknown	Amelanchier alnifolia (Nutt.) Nutt.
918944541	University of British Columbia	UBC	PRESERVED_SPECIMEN	9219	Gerald B. Straley	NA	mounted	NA	NA	1997-07-01T00:00Z	1997	7	1	1997 Jul 01	in edges of mixed forest	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Vancouver, University Boulevard at University Golf Club parking lot"	NA	100 m	NA	NA	NA	NA	NA	49.26667	-123.23333	NA	NA	NA	NA	unknown	Amelanchier alnifolia (Nutt.) Nutt.
918963448	University of British Columbia	UBC	PRESERVED_SPECIMEN	s.n.	John Davidson	NA	mounted	NA	NA	1913-05-04T00:00Z	1913	5	4	1913 May 04	Bluffs by railway	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Coast area, between Colebrook and Whiterock, by railway"	NA	20 ft	NA	NA	NA	NA	NA	48.99971063	-123.0009887	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
918967453	University of British Columbia	UBC	PRESERVED_SPECIMEN	s.n.	Anonymous	NA	mounted	NA	NA	1914-06-21T00:00Z	1914	6	21	1914 Jun 21	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	near Morens ranch	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier alnifolia (Nutt.) Nutt.
918971162	University of British Columbia	UBC	PRESERVED_SPECIMEN	1610	E.R. Manton; A. van der Linde; J. Shiller	NA	mounted	NA	NA	2012-07-24T00:00Z	2012	7	24	2012 Jul 24	NA	NA	NA	NA	NA	CA	British Columbia	NA	NA	"Squamish-Lillooet Regional District, Ashlu Main Road, near Squamish"	NA	250 m	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	WGS84	Amelanchier alnifolia (Nutt.) Nutt.
883407606	University of Alberta Museums	ALTA-VP	PRESERVED_SPECIMEN	9906	"Raup, Hugh M. | Soper, James H."		dried and pressed	NA	NA	1939-08-24T00:00Z	1939	8	24	39-08-24	roadside; wooded; upland	NA	NA	NA	NA	CA	Northwest Territories	NA	NA	Fort Simpson	Vicinity of Fort Simpson: Along road in upland woods west of Mackenzie River.	NA	NA	NA	NA	Canadian Geographical Names Data Base	NA	61.8632	-121.3544	13600	NA	NA	NA	NA	Amelanchier florida Lindl.
883407036	University of Alberta Museums	ALTA-VP	PRESERVED_SPECIMEN	9222	"Raup, Hugh M. | Soper, James H."		dried and pressed	NA	NA	1939-06-21T00:00Z	1939	6	21	39-06-21	timberline	NA	NA	NA	NA	CA	Northwest Territories	NA	NA	Brintnell Lake	Vicinity of Brintnell Lake; south slope of Red Mountain. Near timber line.	NA	NA	NA	NA	NA	NA	62.08333	-127.58333	10407	NA	NA	NA	NA	Amelanchier florida Lindl.
